Publisher,Publisher2,Publisher3
Magic Pockets,other,other
Magnolia,other,other
Mahou,other,other
MAIET Entertainment,other,other
"Making Fun, Inc.",other,other
Makivision Games,other,other
Malibu Games,other,other
Mandigo,other,other
MangaGamer,other,other
Manning,other,other
Map Japan,other,other
Mark Smith,other,other
Marmalade,other,other
Masaya,other,other
Mass Creation Sp. z o. o.,other,other
Mass Threat,other,other
Massive Black Inc,other,other
Mateen Pekan,other,other
Matrix Games,other,other
Matt Roszak,other,other
Matt White,other,other
Mattel Electronics,other,other
MaxBet,other,other
Maxistentialism,other,other
Mc O'River,other,other
MC2 Entertainment,other,other
Mebius,other,other
MECC,other,other
Mechabit,other,other
Mechanic Arms,other,other
Mechanist Games,other,other
Medaverse Studios,other,other
Media Group,other,other
Media Kite,other,other
Media-5,other,other
Media.Vision,other,other
Media.Vision Entertainment,other,other
Media5,other,other
Mediaflex Games,other,other
MediaQuest,other,other
Mediatonic,other,other
Mediocre AB,other,other
Medioza,other,other
MegaCyber,other,other
MegaHouse,other,other
Megamedia,other,other
Meister Hero,other,other
Melbourne House,other,other
Meldac,other,other
Melody,other,other
"Mentrix Software, Inc.",other,other
Mercury Games,other,other
Mere Mortals,other,other
"Merge Interactive, Incorporated",other,other
Meridian,other,other
Meridian 4,other,other
Merit Studios,other,other
MERJ Media,other,other
Messiah,other,other
Metanet Software Inc.,other,other
Metro Trains Melbourne,other,other
Metro3D,other,other
MGame,other,other
MGM Interactive,other,other
Michael Bowen,other,other
Michal Brzozowski,other,other
Micott & Basara Inc.,other,other
Micro World,other,other
Microblast Games,other,other
Microforum,other,other
MicroLeague,other,other
Micronet,other,other
Microvalue,other,other
Mid Carolina Media,other,other
MidBoss,other,other
Midnight Magic Games,other,other
Midway,other,other
Midway Studios Austin,other,other
Midway Studios San Diego,other,other
Miel,other,other
Mig Entertainment,other,other
Mika Mobile,other,other
Mike Bithell Games,other,other
MilkCap,other,other
Milton Bradley,other,other
Mind's Eclipse Interactive,other,other
Mindstorm Studios,other,other
Miniclip SA,other,other
Miniclip.com,other,other
Minicore Studios,other,other
Minor I,other,other
Minor Key Games,other,other
"Minority, Inc.",other,other
Mipumi Games GmbH,other,other
Mirrorsoft,other,other
Misfits Attic,other,other
Mistwalker,other,other
Mitsui,other,other
Mixedbag Srl,other,other
Mixtvision,other,other
Mizuki,other,other
Mobage,other,other
"MobCrete, Inc.",other,other
Mobest Media,other,other
Mobigame,other,other
Mobigame SARL,other,other
MobileBits GmbH,other,other
MOBIRIX,other,other
Mobo Studio,other,other
Mode 7,other,other
Modern Media Ventures,other,other
Mommy's Best Games,other,other
Monkey Stories Games,other,other
Monogon Games,other,other
Monolith,other,other
Monolith Productions,other,other
Monster and Monster,other,other
Monster Robot Studios,other,other
Montparnasse Multimedia,other,other
Mooneye Studios,other,other
Moonpod,other,other
"Moonshark, Inc.",other,other
Morgopolis Studios,other,other
Mosaic,other,other
Motion Picture Corporation of America Interactive,other,other
Mountain King Studios,other,other
Mousechief,other,other
MPI Games,other,other
MSN Games,other,other
Mubik,other,other
Multisoft,other,other
Multiverse,other,other
Mura Interactive,other,other
Muro Studios,other,other
Muse Games,other,other
Muse Software,other,other
MUTAN,other,other
MY.COM,other,other
Myth People,other,other
Mythic Entertainment,other,other
Mythicon,other,other
N3V Games Pty Ltd,other,other
Nabi Studios,other,other
NAC Geographic Products Inc.,other,other
Nagase Brothers,other,other
Naked Sky Entertainment,other,other
Namco Networks America,other,other
Namco Tales Studio / Wolfteam,other,other
Nano Games,other,other
Naps Team,other,other
Naquatic LLC,other,other
NASA,other,other
NaturalMotion,other,other
Navel,other,other
NAVER JAPAN,other,other
Nayantara Studios,other,other
NDA Productions,other,other
NDoors Interactive,other,other
nDreams,other,other
NDS Software,other,other
NEC Avenue,other,other
Nekki,other,other
Neko Neko Soft,other,other
Nemesys,other,other
NEOCYON,other,other
Neon Surge,other,other
Neos,other,other
Neowiz Entertainment,other,other
Nerjyzed Entertainment,other,other
NetherRealm Studios / Other Ocean Interactive,other,other
NetVillage,other,other
New Star Games,other,other
NEW WORLD,other,other
Nexeon Technologies,other,other
Nexoft,other,other
Nexon America,other,other
Next Dimension Game Adventures Ltd.,other,other
Next Gen Games,other,other
Nexuiz Team,other,other
NHK,other,other
NHN corp.,other,other
NHN USA,other,other
Niantic,other,other
Nickelodeon,other,other
nifflas,other,other
Night School Studio,other,other
Nigred,other,other
Nihon Bussan,other,other
Nihon System,other,other
Nikita,other,other
Nimblebit,other,other
Nimbly Games,other,other
Nine'sFox,other,other
NineLives,other,other
NinjaBee,other,other
Nippon Clary Business,other,other
Nippon Create,other,other
Nippon Data Works,other,other
Nitrolic Games,other,other
Nitrome,other,other
Nival Interactive,other,other
Nix Hydra Games,other,other
Nnooo,other,other
No Reply Studios,other,other
NOA,other,other
Nocturnal Entertainment,other,other
Nokia,other,other
Nordcurrent,other,other
Norn,other,other
North Star Games,other,other
Nostatic Software,other,other
Novaleaf Game Studios,other,other
Noviy Disk,other,other
Nowhere Studios,other,other
NTVIC,other,other
Numantian Games,other,other
Numizmatic,other,other
Nunchuk Games,other,other
Nuvision Entertainment,other,other
nWay,other,other
Nyamyam,other,other
O2 Games,other,other
Oasis Games Ltd.,other,other
Oberon Media,other,other
Ocelot,other,other
Oddmobb,other,other
Oddworld Inhabitans,other,other
Oddy Arts,other,other
Odenis Studio,other,other
Odenis Studios,other,other
"oeFun, Inc.",other,other
OGPlanet,other,other
Oink Games,other,other
Ole,other,other
Omega,other,other
Omega Micott,other,other
Omega Products,other,other
OMGPOP,other,other
Omnidream Creations,other,other
On Deck Interactive,other,other
One Man Left,other,other
One or Eight Inc.,other,other
one2tribe Sp. z o.o.,other,other
OnGames,other,other
Onion News Network,other,other
online in4mation GmbH,other,other
OnLine Studio Productions LLC,other,other
ootii,other,other
Open Book,other,other
Open Book 9003,other,other
Oracion,other,other
Orange Juice Dog,other,other
Orangenose Studios,other,other
Orbit Soft,other,other
ORiGO Games,other,other
osao,other,other
Other Ocean Interactive,other,other
Out Fit 7 Ltd.,other,other
Out of the Park Developments,other,other
Outgrow,other,other
Outspark,other,other
Overhaul Games,other,other
Oxeye,other,other
Oxygen Games,other,other
Oz Club,other,other
Pacific Century Cyber Works,other,other
Pack In Soft,other,other
Pai,other,other
Pajamas Soft,other,other
Palace Software,other,other
Palcom,other,other
Pallet,other,other
PalSoft,other,other
Pan Vision,other,other
Panda Entertainment,other,other
Panda House,other,other
Pandora Box,other,other
Panesian,other,other
Panic,other,other
Panic Art Studios,other,other
Panic Button,other,other
Panorama,other,other
Pantera,other,other
Panther Software,other,other
Papyrus,other,other
Paranoid Productions,other,other
Paretto,other,other
Parker Brothers,other,other
Pasta Games!,other,other
Peach Princess,other,other
Pearl Abyss,other,other
Peas Soft,other,other
Pelfast,other,other
Penguin Australia,other,other
PennyPop,other,other
Pentavision Entertainment,other,other
Perfect Hat,other,other
Perfect World,other,other
Performance Designed Products,other,other
Perpetuum Game,other,other
Petit Reve,other,other
Petite Games,other,other
PF.Magic,other,other
Phenomedia,other,other
Philips Interactive Media,other,other
Philips Media France,other,other
PhobosLab,other,other
Phoenix Games,other,other
Phoenix Labs,other,other
Phoenix Online Studios,other,other
Phosphor Games,other,other
Photon Productions,other,other
Pi Arts,other,other
PICK Technology Limited,other,other
Pieces Interactive,other,other
Pin Change,other,other
Pink Pineapple,other,other
Pinkerton Road,other,other
Pinky Soft,other,other
Pinpin Team,other,other
Pione Soft,other,other
Pirate Software,other,other
Pix Arts,other,other
Pixel Federation,other,other
Pixel Maniacs,other,other
Pixelsplit,other,other
PixelStorm,other,other
Planeta DeAgostini Interactive,other,other
PlanetG,other,other
Planetwide Games,other,other
Platine Dispositif,other,other
Plato,other,other
Play It,other,other
Play Ten Interactive,other,other
Playaround,other,other
Playbrains,other,other
"Playdek, Inc.",other,other
Playdemic,other,other
PLAYDIUS,other,other
"Playdom, Inc.",other,other
PlayEveryWare Games,other,other
PlayFirst,other,other
PlayFlock,other,other
Playful Entertainment,other,other
Playism,other,other
Playlogic International NV,other,other
Playmore Corporation,other,other
Playrise Edge Ltd.,other,other
Playrix,other,other
Playrix Entertainment,other,other
PlayStation Mobile Inc.,other,other
Playstos Entertainment,other,other
Playtika LTD,other,other
"Pocket Direct, L.L.C.",other,other
Pocket Games Inc,other,other
Pocketwatch Games,other,other
Point of View,other,other
Poisoft,other,other
Polarbit,other,other
Polygram Magic of Japan,other,other
Polynetix Studio,other,other
Polyphony Digital,other,other
Polytron,other,other
PomPom,other,other
PomPom Games,other,other
Ponos,other,other
Popcorn Arcade,other,other
Poppy Works,other,other
Powerhead Games,other,other
Press Play,other,other
Presto Studios,other,other
Private Division,other,other
Privateer Press Interactive,other,other
Probe Entertainment Ltd.,other,other
Produce!,other,other
Progrestar,other,other
Project Two Interactive,other,other
ProjeX,other,other
Prolific Publishing,other,other
Propeller,other,other
Psikyo,other,other
Psychic Software,other,other
Psygnosis / Reflections Interactive,other,other
Psyonix,other,other
Pulse Entertainment,other,other
Pumpie,other,other
Punchline / Shirogumi,other,other
Pygmy Studio,other,other
Pyrodactyl,other,other
Q Entertainment,other,other
Q Entertainment/UserJoy Technology,other,other
Q-Games,other,other
QCF Design,other,other
Quaker Oats,other,other
Quantum Quality,other,other
Quantum Sheep,other,other
"Quark Games, Inc.",other,other
Qubic Games,other,other
QubicGames,other,other
Queasy Games,other,other
Quelle,other,other
Quikding,other,other
Qwiboo,other,other
r2 game,other,other
R2Games,other,other
Rage Software,other,other
Ragequit Corporation,other,other
Rainbird,other,other
Rainbite,other,other
Rainbow Arts,other,other
Rainy Frog,other,other
Rake in Grass,other,other
Random Games Inc.,other,other
Random House,other,other
RaSeN,other,other
Ratalaika Games,other,other
Ratloop Asia Pte Ltd,other,other
Ravensburger Interactive Media,other,other
Raw Fury,other,other
Ray Corporation,other,other
Raya System,other,other
Razorsoft,other,other
RCMADIAX,other,other
rdein,other,other
"Reactor, Inc.",other,other
Real Vision,other,other
RealArcade,other,other
RealNetworks,other,other
"RealNetworks, Inc",other,other
Realore Studios,other,other
Realtec,other,other
Realtech VR,other,other
Rebellion Developments / Saffire,other,other
Recom,other,other
Red 5 Studio,other,other
Red Barrels,other,other
Red Fly Studio,other,other
Red Orb Entertainment,other,other
Red Robot Labs Inc.,other,other
Red-Spell,other,other
RedG Studios,other,other
RedLynx,other,other
RedSpot Games,other,other
Regista,other,other
Reindeer,other,other
Relentless Software,other,other
Reliance Big Entertainment UK Private Ltd,other,other
Relic Entertainment,other,other
Renegade,other,other
Renegade Kid,other,other
Renovation,other,other
"responDESIGN, Inc.",other,other
Revolution,other,other
Rich Olson,other,other
"Rideon Japan, Inc.",other,other
Right Stuff,other,other
Ringzero Game Studio,other,other
Riot,other,other
Riot Games,other,other
Ripstone,other,other
Riverhill Soft,other,other
Riverman Media,other,other
RNOVA Studio,other,other
RntsMedia,other,other
Robert Topala,other,other
Robinson Technologies,other,other
Roblox Corporation,other,other
Robot Entertainment,other,other
Robot Gentleman Studios,other,other
Robotality,other,other
Rocket Science,other,other
Rocket Science Games,other,other
"Rocket Studio, Inc.",other,other
Rockin' Android,other,other
Rockstar,other,other
Rockstar Leeds/North,other,other
"Rogue Play, Inc.",other,other
Rogue Snail,other,other
Roll7,other,other
Romstar,other,other
Ronimo Games,other,other
Roofdog Games,other,other
Rovio Mobile,other,other
RucKyGAMES,other,other
Rudolf Kremers,other,other
Ruffian Games,other,other
Rune,other,other
Runic Games,other,other
RunnerGames,other,other
S2 Games,other,other
Sabarasa Entertainment,other,other
Sabec Limited,other,other
Saber Interactive,other,other
Sabi Games,other,other
Sabotage,other,other
Sachen,other,other
Sada Soft,other,other
Saddleback,other,other
Sage's Creation,other,other
Sakari Indie,other,other
Salio,other,other
Salu,other,other
Sanctuary Woods,other,other
Sand Sailor Studio,other,other
Sandlot Games,other,other
Sandswept Studios,other,other
Sanritsu Denki,other,other
Santa Entertainment,other,other
Santos,other,other
Sanuk Games,other,other
Sanyei Shobou,other,other
Sara International,other,other
Sarah Northway,other,other
Sarbakan,other,other
Saturnine Games,other,other
Saurus,other,other
Scavenger,other,other
SCE Studio San Diego,other,other
SCEA,other,other
SCEA Studio San Diego,other,other
SCEE,other,other
Schell Games,other,other
ScooP,other,other
Score Studios,other,other
Scott Cawthon,other,other
Screenlife,other,other
Screenwave Media,other,other
Screwy Lightbulb,other,other
Seaven Studio,other,other
Secret Base,other,other
Secret Location,other,other
Secret Sorcery,other,other
"Section Studios, Inc.",other,other
Sega Falcom,other,other
Sega Toys,other,other
Sega-AM7,other,other
SegaSoft,other,other
SEI,other,other
Seika,other,other
Seismic,other,other
Sekilala,other,other
SelectSoft,other,other
Semnat Studios,other,other
Serene,other,other
SevenOne Intermedia GmbH,other,other
SFB Games,other,other
SGN,other,other
SGTTB_Studios,other,other
Shadowsoft,other,other
"Shadowsoft, Inc.",other,other
Shanblue Interactive,other,other
Shangri-La,other,other
SharRock,other,other
Shaun Inman,other,other
Shepherd's Worlds,other,other
Shibuya Interactive,other,other
Shield Break Studios,other,other
Shin'en Multimedia,other,other
Shinbyou Planning,other,other
Shingakusha,other,other
Shoeisha,other,other
Shouei,other,other
Shrapnel Games,other,other
Sidebar Games,other,other
Sideline Amusements,other,other
Sierra Online,other,other
Sierra Studios,other,other
Sigma,other,other
Sigma Ent. Inc.,other,other
Sigma Game Limited,other,other
Signal Studios,other,other
Silent Dreams,other,other
Silent Software Inc.,other,other
Silver Creek Entertainment,other,other
Silver Dollar Games 2,other,other
Silver Fox Media,other,other
Silver Star Japan,other,other
Silver Style,other,other
Silverball,other,other
SilverStar,other,other
SimFabric,other,other
Simogo,other,other
Simpy Entertainment,other,other
Sims,other,other
SIMS Co.,other,other
Sinister Cyclops,other,other
Sinxsoft,other,other
Sirlin Games,other,other
"Sirqul, Inc.",other,other
Sirtech,other,other
Sirvo LLC,other,other
Ska Studios,other,other
SkunkWorks,other,other
Sky Think Systems,other,other
Skyjoy Interactive,other,other
Skyworks Interactive,other,other
Slang,other,other
Slick Entertainment,other,other
Slightly Mad Studios,other,other
SlinDev,other,other
Slitherine,other,other
Slitherine Studios,other,other
Smack Down Productions,other,other
Smartly Dressed Games,other,other
SmashGames,other,other
SMG Studio,other,other
Smile Soft,other,other
Smilegate Megaport,other,other
"Smiling Buddha Games, LLC.",other,other
Smosh LLC,other,other
Snaggletooth Studios,other,other
Snail Game,other,other
Snapshot Games,other,other
Snikkabo AS,other,other
Snowbird Game Studios,other,other
Snowcastle Games,other,other
So Much Drama Studios,other,other
Social Point,other,other
Social Quantum,other,other
Societa Daikanyama,other,other
Sofel,other,other
Soft Bank,other,other
Soft Office,other,other
Soft Pro,other,other
Soft Vision International,other,other
SoftDisk Publishing,other,other
SoftEgg Enterprises,other,other
softhouse-seal,other,other
SoftLab Laboratories,other,other
SoftMax,other,other
Softnyx,other,other
Software 2000,other,other
Software House Paseri,other,other
Software Toolworks,other,other
Soldak Entertainment,other,other
Solus Games,other,other
Sonalysts,other,other
Soner Kara,other,other
Songbird Productions,other,other
Sonic Powered,other,other
Sony Imagesoft,other,other
Sony Pictures Digital Network,other,other
Sophia,other,other
Sound Source,other,other
Sound Technology,other,other
South East Games,other,other
Space Ape Games,other,other
"Space Inch, LLC",other,other
Spacetime Studios,other,other
Spark Plug Games,other,other
Sparkle Apps,other,other
SpearHead Games,other,other
Spectravision,other,other
Spellbound,other,other
Spicy Horse,other,other
Spicysoft Corp.,other,other
Spiderweb Software,other,other
Spiel,other,other
Spike Co.,other,other
SPIL GAMES,other,other
Splash,other,other
Sports Interactive,other,other
Spray,other,other
Springloaded,other,other
Spry Fox,other,other
SPS,other,other
Stack,other,other
Star Cave Studios,other,other
Starbreeze,other,other
Starbreeze Studios,other,other
StarHill,other,other
Starplay,other,other
Starsign,other,other
State of Play Games,other,other
Stern,other,other
Stickmen Studios,other,other
Stockpile Studio,other,other
Stolen Couch Games,other,other
StormBASIC,other,other
StormBasic Games,other,other
"Strategic Simulations, Inc",other,other
Strategic Studies Group,other,other
Studio 3,other,other
Studio e-go,other,other
Studio F-Sharp,other,other
Studio Fawn,other,other
Studio Wonder Effect,other,other
Studio Zan,other,other
Studio9,other,other
Subatomic Studios,other,other
Subset Games,other,other
Substantial Inc.,other,other
Sucker Punch Productions,other,other
SuckerFree Games,other,other
Sudden Games,other,other
Summitsoft Entertainment,other,other
Sumo Digital,other,other
SUMO interactive,other,other
SUMS Online Ltd,other,other
Sun Amusement,other,other
Sunny Tam,other,other
Super Fighter Team,other,other
Supergiant Games,other,other
Supersolid Ltd,other,other
Supersonic,other,other
SuperVillain Studios,other,other
Sur de Wave,other,other
Surreal Software,other,other
Survive,other,other
Swan,other,other
Swift Apps,other,other
Swing! Entertainment,other,other
Switchblade Monkeys,other,other
Symphony,other,other
Synergy Inc.,other,other
Syntetic Dreams,other,other
System Sacom,other,other
T&S,other,other
T3 Entertainment,other,other
TACS Games,other,other
Tactics,other,other
Tadashi,other,other
Tag Games,other,other
Taito Corporation,other,other
Takara Tomy ARTS,other,other
Taki,other,other
Tale of Tales,other,other
Taleworlds,other,other
Tammeka Games,other,other
Tamsoft,other,other
Tangram3D,other,other
Tantalus Interactive,other,other
Tantrum Entertainment,other,other
Tap4Fun,other,other
Tapps Tecnologia da Informao Ltda.,other,other
Tasuke,other,other
Tate Multimedia,other,other
TBA,other,other
TBS,other,other
Team Colorblind,other,other
Team Junkfish,other,other
Team Salvato,other,other
Team6,other,other
TeamLava,other,other
Teatime,other,other
Tec Toy,other,other
Techiku,other,other
Techno Soleil,other,other
TechnoBrain,other,other
TechnoSoft,other,other
TecMagik,other,other
Teku Studios,other,other
Telarium,other,other
"Telegames, Inc.",other,other
Telenet,other,other
Telenet Japan,other,other
TEN,other,other
Tencent Games,other,other
Tencent Technology(Shenzhen) Company Limited,other,other
Tenco,other,other
Teotl Studios,other,other
Tera Box,other,other
Terios,other,other
Terrible Toybox,other,other
Tetris Online,other,other
Teyon,other,other
Teyon Entertainment,other,other
TGC,other,other
The Arcade Crew,other,other
The Code Monkeys,other,other
The Codemasters Software Company Limited,other,other
The Dangerous Kitchen,other,other
The Fullbright Company,other,other
The Game Bakers,other,other
The Game Creators,other,other
The Indie Stone,other,other
The LEGO Group,other,other
The Men Who Wear Many Hats LLC,other,other
The Molasses Flood,other,other
The Muteki Corporation,other,other
The ONE,other,other
The Quantum Astrophysicists Guild,other,other
The Quinnspiracy,other,other
The Voxel Agents,other,other
The Working Parts,other,other
thechineseroom,other,other
thesetales,other,other
ThompsonSoft,other,other
Three Donkeys,other,other
Through Games,other,other
Thunder Mountain,other,other
Thunderful Publishing AB,other,other
"Thunderstorm Entertainment Inc.,",other,other
Tiburon Interactive Publishing,other,other
TickTock Games,other,other
TikGames,other,other
Tikipod,other,other
"Timberline Studio, Inc.",other,other
Timbre Interactive,other,other
TimeGate Studios,other,other
Tin Man Games,other,other
TinkerBell,other,other
"TinyCo, Inc.",other,other
TNN,other,other
Toasty Games,other,other
Toco Games,other,other
Toei Animation,other,other
Tohoku Shinsha,other,other
Tokuma Shoten,other,other
Tokyo Electron,other,other
Tom Create,other,other
Tomorrow Corporation,other,other
Tonkin House,other,other
tono / Ctrl+k,other,other
Tony Sergi,other,other
TOPGAME,other,other
Toplitz Productions,other,other
Topologika,other,other
TopWare,other,other
Toshiba EMI,other,other
Total Eclipse,other,other
Total Mayhem Games,other,other
Touchable,other,other
Touz,other,other
Toydea Inc.,other,other
Tozai Games,other,other
TQ Digital Entertainment,other,other
TRADEGAME Lab Inc.,other,other
Tradewest,other,other
TransGaming,other,other
Transolar Games,other,other
Trapped Nerve Games,other,other
Travian Games GmbH,other,other
Treasure,other,other
Treco,other,other
TreeFall Studios,other,other
Trendverlag,other,other
tri-Ace,other,other
Triangle,other,other
Triangle Studios,other,other
Triffix,other,other
Trilobyte,other,other
Triniti Interactive,other,other
Trinket Studios,other,other
Trust,other,other
Tsunami Media,other,other
Tubby Games,other,other
Turbo Technologies,other,other
Turborilla,other,other
Twilight Frontier,other,other
Twisted Pixel Games,other,other
Twisted Tree,other,other
Two Desperados,other,other
TwoFive,other,other
U.S. Army,other,other
Uber Entertainment,other,other
Ubiquitous Media Corp.,other,other
Ubisoft Romania,other,other
Ubisoft Shanghai,other,other
uClick,other,other
UEP Systems,other,other
UFO Interactive Games,other,other
Ugamehome,other,other
Ultra Runaway Games,other,other
Unbalance,other,other
Undercoders,other,other
Undergames,other,other
Undermoon,other,other
Unicorn-A,other,other
UNiSONSHIFT,other,other
United Developers,other,other
Unity Games,other,other
Unties,other,other
Untouchable,other,other
Up Multimedia,other,other
Upfall Studios,other,other
UPL,other,other
Urban Plant,other,other
US Games,other,other
UserJoy Technology,other,other
Ustwo Games,other,other
Value Works,other,other
Vanguard,other,other
Varie,other,other
Vasili Tryndyk,other,other
Vblank Entertainment Inc.,other,other
VD-dev,other,other
Vector 2 Games,other,other
Vector Unit,other,other
Vector Unit Studios,other,other
Vega,other,other
Velocity Development,other,other
Velocity Inc.,other,other
Vertex Pop,other,other
Vertigo Games,other,other
Vexel Games,other,other
Vicarious Visions,other,other
Vidtec,other,other
Vile Monarch,other,other
Ving,other,other
Virgin Games,other,other
Virgin Mastertronic,other,other
Virgin Play,other,other
Virtual Air Guitar Company,other,other
Virtual Playground,other,other
Virtual Programming Ltd,other,other
Virtual Racing Industries Ltd.,other,other
Virtual Toys,other,other
Vise,other,other
Vision Games,other,other
Vision Soft,other,other
Visit,other,other
Vitrex Multimedia,other,other
Vivid Games,other,other
Vivid Helix,other,other
Vivid Interactive,other,other
VIZ Media,other,other
Vogster Entertainment,other,other
VOLV LLC,other,other
VooFoo Studios,other,other
"VOOZ CO.,LTD",other,other
VRChat Inc.,other,other
Vtree Entertainment,other,other
Waffle,other,other
Wahoo Studios,other,other
Waka Interactive Entertainment,other,other
Waka Mfg,other,other
Wanadoo,other,other
Wanadoo Edition,other,other
Wander MMO,other,other
Wastelands Interactive,other,other
WaterMelon,other,other
Wave,other,other
WaveDNA,other,other
Wax Lyrical Games,other,other
Way Forward,other,other
WayForward,other,other
Webfoot Technologies,other,other
Webzen,other,other
Weird and Wry,other,other
WeirdBeard,other,other
Well Made,other,other
"WeMade Entertainment CO., LTD",other,other
Wesson International,other,other
West Coast Software,other,other
WestVision,other,other
WHA Entertainment,other,other
While,other,other
White Lotus Interactive,other,other
White Paper Games,other,other
WhiteBigRabbit,other,other
Wicked Interactive,other,other
Wicked Loot,other,other
Wiering Software,other,other
WildTangent,other,other
William Chyr Studio,other,other
Williams,other,other
"Williams Electronic Games, Inc.",other,other
Williams Electronics,other,other
Williams Entertainment Inc.,other,other
Winged Pixel Inc.,other,other
Winky Soft,other,other
Winter Wolves Game Studio,other,other
Winter Wolves Studio,other,other
Wisdom Tree,other,other
Witch,other,other
Witch Beam Games,other,other
Witt Interactive Software,other,other
Wiz Technology,other,other
Wizards Time LLC,other,other
WizardWorks,other,other
Wolf Team,other,other
Wolfire Games,other,other
Wolfteam / Namco Tales Studio,other,other
Wonderful Tree Studio,other,other
wooga,other,other
WorkJam,other,other
Worlds Apart,other,other
WXP / Screenlife Games,other,other
Xendex,other,other
Xform,other,other
XGen Studios,other,other
XGenStudios,other,other
Xiao Yao,other,other
Xider Games,other,other
Xing Entertainment,other,other
XMG Studio Inc.,other,other
Xonox,other,other
XPEC Entertainment,other,other
XperimentalZ Games,other,other
Xplosiv,other,other
Xuse,other,other
XWego,other,other
XYPE,other,other
Yamago,other,other
Yanim Studio,other,other
Yanoman,other,other
YCJY,other,other
yeo,other,other
"YGGDRAZIL GROUP CO.,LTD",other,other
Yojigen,other,other
Yokcos,other,other
Yoshimoto Kogyo,other,other
Youda Games,other,other
Young Fun Studio,other,other
Yudo,other,other
Yuke's Osaka,other,other
Yuki,other,other
Yullaby,other,other
Yutaka,other,other
Zallag,other,other
Zamuse,other,other
Zatun,other,other
Zaxis Games,other,other
Zeboyd Games,other,other
"Zeichenkraftwerk Jeutter, Schaller, Staeger GbR",other,other
Zellers,other,other
ZeNfA Productions,other,other
ZeptoLab,other,other
Zerodiv,other,other
Zeta Multimedia,other,other
Zoink Games,other,other
Zombie Cow Studios,other,other
Zombie Studios,other,other
Zoom,other,other
ZoopTEK,other,other
Zordix AB,other,other
Zotnip,other,other
ZQGame,other,other
Zynga,other,other