Platform,
PS2,PS2
PC,PC
X360,X360
PS3,PS3
Wii,Wii
DS,DS
PS,PS
PS4,PS4
3DS,3DS
GBA,GBA
PSP,PSP
XOne,XOne
XB,XB
NES,NES
GB,GB
N64,N64
SNES,SNES
GC,GC
NS,NS
WiiU,other
2600,other
PSV,other
GEN,other
SAT,other
GBC,other
DC,other
PSN,other
SCD,other
NG,other
WS,other
XBL,other
VC,other
Amig,other
WW,other
3DO,other
PCE,other
Mob,other
GG,other
OSX,other
PCFX,other
5200,other
7800,other
Aco,other
ACPC,other
AJ,other
And,other
ApII,other
Arc,other
AST,other
BBCM,other
BRW,other
C128,other
C64,other
CD32,other
CDi,other
DSi,other
DSiW,other
FMT,other
GIZ,other
Int,other
iOS,other
iQue,other
Linux,other
Lynx,other
MS,other
MSD,other
MSX,other
NGage,other
Ouya,other
S32X,other
TG16,other
VB,other
WinP,other
ZXS,other